,Company,Sector,Industry,Country,Website,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float / Ratio, / 21.54,Sales,P/S,EPS this Y,Inst Trans,Short Interest,Perf Half Y,Book/sh,P/B,EPS growth next Y,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility (Week),Volatility (Month),Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
2452,PRIM,Primoris Services Corporation,Industrials,Engineering & Construction,,RUT,13.52,2.53,0.30%,53.18M,7.72%,1.86B,11.73,2.92,27.06%,52.50M,11.18%,136.00M,1.35,0.54,92.00%,1.05% / 1.81,,4.89B,0.38,13.80%,3.66%,0.55M,35.77%,20.85,1.64,25.75%,4.10%,33.33,59.51%,1.74,19.61,10.00%,12.60%,15.90  34.45,55.88%,0.24,,15.30%,7.50%,0.73%,1.26,0.70%,1.5,13.20%,10.20%,115.09%,0.97,2509,1.5,60.20%,4.40%,71.95,4.01%,2.87%,Yes,1,177.20%,2.80%,0.48,34.07,Yes,0.93,Aug 07 AMC,9.40%,303.58K,34.2,2,8.34%,12.76%,33.79%,"107,362",0.38%
2453,PRI,"Primerica, Inc.",Financial,Insurance  Life,,,20.67,10.35,0.60%,36.71M,0.03%,7.85B,12.45,17.18,21.82%,36.01M,6.08%,381.30M,1.97,3.81,94.90%,1.14% / 3.15,,2.72B,2.89,3.90%,0.58%,0.41M,28.50%,52.33,4.09,11.40%,,212,59.24%,14.03,15.24,10.47%,,120.18  220.00,50.80%,2.6,,12.00%,9.80%,2.79%,1.17,1.22%,,10.00%,,77.94%,3.87,2646,,0.20%,,61.74,2.39%,1.82%,Yes,0,16.20%,,0.68,212.43,Yes,1.07,Aug 07 AMC,22.56%,130.30K,213.86,2.5,1.11%,6.48%,25.15%,"65,849",0.67%
2454,PRGS,Progress Software Corporation,Technology,Software  Application,,RUT,32.49,1.84,1.40%,43.34M,1.16%,2.60B,12.82,4.66,11.55%,42.63M,2.68%,81.30M,16.25,1,107.86%,6.55% / 7.28,,650.80M,4,22.30%,0.26%,2.79M,3.88%,9.66,6.19,11.13%,5.40%,63.67,24.43%,,,2.00%,20.30%,40.33  61.97,18.43%,0.7,18.98,29.10%,10.80%,3.58%,0.91,1.17%,,9.10%,83.50%,48.17%,1.18,2071,0.9,19.90%,18.60%,53.1,2.06%,1.81%,Yes,1.88,58.70%,12.50%,0.26,59.98,Yes,1.85,Jun 29 AMC,37.20%,383.14K,59.75,1.7,0.55%,2.00%,7.81%,"74,232",0.38%
2455,PRGO,Perrigo Company plc,Healthcare,Drug Manufacturers  Specialty & Generic,,,,0.97,0.95%,134.90M,7.86%,5.31B,12.5,3.15,13.35%,134.04M,18.34%,130.80M,,0.51,97.80%,3.41% / 4.03,,4.56B,1.16,0.70%,5.11%,4.57M,11.19%,35.83,1.1,20.57%,1.30%,49.5,5.85%,4.1,9.59,10.00%,3.00%,30.78  42.21,15.39%,1.09,1360.47,24.80%,0.90%,6.81%,0.8,2.78%,1.4,2.10%,33.60%,27.80%,0.89,8900,2.5,10.00%,2.10%,71.58,2.87%,2.33%,Yes,0.85,16.00%,3.10%,0.77,38.5,Yes,0.84,Aug 08 BMO,,1.13M,39.34,1.7,8.96%,14.13%,12.07%,"643,770",2.18%
2456,PRG,"PROG Holdings, Inc.",Industrials,Rental & Leasing Services,,RUT,13.28,2.84,1.00%,46.47M,2.73%,1.71B,10.94,3.45,0.00%,44.10M,14.82%,137.30M,1.18,0.63,105.25%,2.97% / 3.20,,2.49B,0.69,48.30%,7.29%,1.31M,68.41%,12.77,2.96,7.38%,9.20%,51,83.92%,5.57,6.77,11.30%,23.70%,12.11  44.81,123.45%,,6.04,2.50%,11.70%,15.78%,2.1,,,5.10%,,211.64%,1.43,1692,,8.70%,9.40%,53.79,2.72%,4.12%,Yes,1,115.70%,5.50%,0.32,37.86,Yes,1,Jul 26 BMO,0.00%,409.11K,37.74,2.2,0.45%,8.07%,47.21%,"97,582",0.32%
2457,PRFZ,Invesco FTSE RAFI US 1500 SmallMid ETF,Financial,Exchange Traded Fund,,,,,,,1.83%,,,,,,0.94%,,,,, / ,,,,,,,2.22%,,,,,,2.19%,,,,,28.96  36.83,11.83%,0.1,,,,3.81%,1.19,0.28%,,,,22.33%,0.49,,,,,47.6,1.33%,1.19%,Yes,,,,0.72,35.41,Yes,,,,98.59K,35.43,,1.84%,1.86%,6.25%,"52,972",0.06%
2458,PRFX,PainReform Ltd.,Healthcare,Drug Manufacturers  Specialty & Generic,,,,8.77,5.55%,1.07M,0.30%,10.15M,,,0.00%,0.99M,14.61%,9.40M,,,32.00%,11.19% / 0.08,,,,11.70%,1.44%,0.11M,12.72%,8.29,0.79,,70.20%,30,17.11%,5.26,1.25,,77.50%,3.40  26.41,59.68%,,,28.60%,,75.05%,0.03,,8.1,,,93.60%,1.5,6,8.1,,,48.36,10.46%,21.18%,No,0,33.20%,,0.08,6.8,Yes,0,Aug 10 AMC,,1.31M,6.59,2,10.88%,5.90%,15.56%,"78,552",3.09%
2459,PRFT,"Perficient, Inc.",Technology,Information Technology Services,,RUT,21.14,2.86,0.30%,33.99M,0.23%,2.03B,13.83,4.37,14.28%,33.95M,33.06%,102.60M,2.11,0.92,96.70%,3.85% / 4.17,,922.70M,2.21,93.30%,1.43%,1.31M,22.65%,13.97,4.33,10.07%,10.40%,77.5,28.78%,1.8,33.63,10.00%,24.00%,58.00  96.93,13.43%,,14.31,48.50%,13.40%,37.64%,1.52,,3.4,13.30%,38.50%,4.22%,3.21,6893,3.4,3.80%,15.50%,28.26,3.16%,5.08%,Yes,0.83,4.90%,11.10%,1.29,60.18,Yes,0.83,Jul 27 BMO,0.00%,313.05K,60.45,2,20.30%,22.65%,17.38%,"299,649",0.45%
2460,PRF,Invesco FTSE RAFI US 1000 ETF,Financial,Exchange Traded Fund,,,,,,,0.09%,,,,,,0.40%,,,,, / ,,,,,,,3.25%,,,,,,4.08%,,,,,27.56  34.09,7.61%,0.13,,,,2.05%,1.01,0.38%,,,,21.14%,0.3,,,,,52.29,1.03%,0.74%,Yes,,,,0.84,33.37,Yes,,,,315.67K,33.39,,0.54%,1.89%,4.98%,"195,805",0.06%
2461,PREF,Principal Spectrum Preferred Securities Active ETF,Financial,Exchange Traded Fund,,,,,,,0.26%,,,,,,0.80%,,,,, / ,,,,,,,3.89%,,,,,,5.38%,,,,,16.17  18.23,0.21%,0.8,,,,5.95%,0.38,4.65%,,,,6.03%,0.08,,,,,55.37,0.33%,0.42%,No,,,,0.82,17.16,Yes,,,,172.21K,17.15,,0.08%,1.00%,0.48%,"104,660",0.09%
2462,PRE,Prenetics Global Limited,Healthcare,Diagnostics & Research,,,,1.49,27.80%,157.84M,6.91%,102.49M,55,0.01,0.00%,98.72M,22.44%,167.90M,,0.05,9.30%,0.20% / 1.33,,201.40M,0.51,59.70%,1.41%,0.20M,55.70%,1.45,0.46,104.30%,58.30%,6.3,84.13%,1.18,0.56,,75.30%,0.64  4.35,67.00%,,,,49.20%,84.83%,0.5,,4.6,,51.30%,2.96%,0.04,800,4.7,80.80%,60.00%,29.65,5.86%,5.59%,No,0.03,77.80%,83.30%,0.05,0.68,Yes,0.02,,,150.53K,0.66,1.3,13.75%,20.90%,51.34%,"6,125",2.65%
2463,PRDS,"Pardes Biosciences, Inc.",Healthcare,Biotechnology,,,,1.58,0.40%,60.21M,1.29%,129.81M,,0.51,,52.15M,13.58%,93.00M,,0.38,76.70%,1.76% / 2.27,,,,169.20%,0.84%,0.92M,26.50%,2.58,0.82,45.70%,,1.25,32.29%,2.49,0.85,,,0.75  3.93,25.00%,,,,,46.25%,0.41,,81.7,,,181.67%,0.05,57,81.7,,,61.14,2.11%,1.65%,No,0,,,0.27,2.1,Yes,0,May 05 AMC,,404.61K,2.11,3,0.23%,7.82%,28.67%,"81,895",0.60%
2464,PRDO,Perdoceo Education Corporation,Consumer Defensive,Education & Training Services,,RUT,11.68,1.43,1.60%,67.48M,4.71%,984.95M,8.78,1.9,16.18%,66.50M,32.80%,98.30M,0.78,0.41,95.30%,3.06% / 6.04,,707.80M,1.39,10.20%,1.71%,2.03M,19.66%,12.08,1.38,7.34%,,21,35.61%,12.17,1.37,15.00%,,9.97  17.05,20.00%,,6.56,34.40%,12.60%,2.17%,1.14,,4,3.10%,82.70%,67.30%,0.5,2500,4,11.30%,20.30%,83.55,3.97%,2.43%,Yes,,112.20%,,0.7,16.63,Yes,,Aug 03 AMC,0.00%,336.38K,16.68,1,18.90%,28.03%,24.77%,"174,479",0.30%
2465,PRCT,PROCEPT BioRobotics Corporation,Healthcare,Medical Devices,,RUT,,2.33,0.30%,45.07M,9.65%,1.44B,,1.82,43.03%,43.23M,16.30%,104.60M,,0.54,74.90%,8.11% / 7.22,,101.60M,14.18,43.20%,7.03%,3.51M,10.42%,3.84,8.17,18.40%,28.40%,50.14,29.01%,3.94,7.96,19.60%,42.00%,25.29  52.40,24.48%,,,,33.80%,40.13%,0.59,,6.4,,51.00%,24.04%,1.82,428,7.6,71.80%,82.60%,35.96,4.63%,5.35%,Yes,0.3,61.30%,85.80%,0.35,31.66,Yes,0.3,Jul 27 BMO,,486.11K,31.37,1.9,11.61%,10.77%,14.46%,"124,566",0.92%
2466,PRCH,"Porch Group, Inc.",Technology,Software  Application,,,,1.95,11.60%,97.82M,12.20%,108.17M,,0.86,0.90%,77.33M,24.66%,189.50M,,0.46,77.80%,11.12% / 6.92,,300.80M,0.36,41.60%,13.97%,8.60M,67.96%,0.48,2.32,32.30%,17.80%,5.05,61.28%,2.2,0.51,,172.80%,0.79  3.99,40.69%,,,,34.10%,72.06%,0.87,,1.1,,54.20%,42.00%,0.09,1800,1.1,37.40%,63.20%,37.07,5.61%,7.10%,Yes,9.62,321.00%,63.00%,0.77,1.14,Yes,9.39,Aug 08 AMC,,1.24M,1.12,2,13.52%,15.99%,34.55%,"712,074",2.19%
2467,PRAX,"Praxis Precision Medicines, Inc.",Healthcare,Biotechnology,,,,3.85,0.60%,119.24M,17.71%,137.84M,,2.01,21.60%,109.24M,15.04%,182.80M,,0.66,90.30%,2.70% / 2.94,,0.70M,196.91,18.00%,0.88%,2.95M,72.84%,1.21,0.93,15.50%,137.70%,8.1,76.31%,0.7,1.61,14.60%,190.10%,0.79  5.25,52.52%,,,,,78.48%,3.03,,3.2,,,43.04%,0.1,109,3.2,,,57.59,11.72%,9.74%,Yes,0,53.30%,,0.4,1.07,Yes,0,,,1.00M,1.13,2,11.50%,6.68%,38.77%,"299,009",5.61%
2468,PRAA,"PRA Group, Inc.",Financial,Credit Services,,RUT,44.81,0.45,0.50%,39.03M,6.88%,786.42M,15.91,1.28,38.20%,38.21M,11.78%,18.50M,1.24,0.14,101.10%,3.74% / 3.15,,881.40M,0.89,27.30%,7.61%,1.43M,50.26%,29.68,0.68,179.00%,0.40%,31.33,47.31%,3.01,6.75,36.00%,1.60%,17.74  43.34,39.91%,,,8.30%,6.50%,53.16%,1.26,,,3.10%,77.50%,14.43%,1.07,3184,,35.40%,20.50%,32.92,7.90%,4.44%,Yes,2.63,255.20%,2.10%,0.32,20.05,Yes,2.63,,0.00%,454.10K,20.3,2.2,11.42%,10.62%,36.43%,"109,185",1.25%
2469,PRA,ProAssurance Corporation,Financial,Insurance  Property & Casualty,,RUT,,0.06,0.40%,53.99M,9.74%,992.50M,20.36,0.9,0.00%,53.50M,18.63%,3.00M,,0.1,87.30%,1.22% / 1.70,,1.10B,0.9,100.30%,5.99%,0.65M,3.35%,21.08,0.87,214.34%,0.10%,18,20.86%,1.04,17.6,27.30%,0.30%,11.87  23.92,4.78%,0.2,,14.90%,1.00%,23.47%,0.42,1.09%,,4.80%,,54.21%,0.51,1083,,0.40%,1.50%,78.64,4.50%,2.68%,Yes,0.38,73.50%,0.30%,0.37,18.15,Yes,0.38,,,382.33K,18.31,2.7,9.93%,18.94%,3.45%,"104,249",0.85%
2470,PR,Permian Resources Corporation,Energy,Oil & Gas E&P,,RUT,6.42,1.94,3.20%,559.88M,3.71%,6.73B,6.91,1.8,77.91%,241.31M,8.41%,601.40M,1.07,0.36,88.40%,13.90% / 4.89,,2.40B,2.8,262.00%,1.67%,33.55M,25.99%,10.4,1.2,32.43%,,13.5,81.58%,0.03,367.74,6.00%,,6.09  12.62,33.09%,0.2,13.68,40.30%,17.50%,1.43%,4.5,1.61%,0.6,37.70%,83.50%,104.43%,0.42,218,0.6,31.90%,41.20%,70.08,3.46%,3.71%,Yes,0.62,61.70%,,1,12.16,Yes,0.62,Aug 02 AMC,0.00%,6.87M,12.44,2,8.44%,14.40%,21.51%,"5,094,169",2.34%
2471,PPYA,Financial,Shell Companies,USA,,,123.72,0.09,9.93%,37.64M,0.82%,199.50M,,,0.00%,11.04M,0.86%,3.30M,,,75.70%,0.00% / 0.01,,,,,6.83%,0.00M,6.40%,7.52,1.41,,1.10%,,,0,,,1.20%,9.96  11.63,4.16%,,,,,8.51%,0.01,,0.1,,,6.83%,0.06,,0.1,,,55.41,0.24%,0.63%,No,0,308.50%,,0.05,10.66,Yes,0,,0.00%,56.71K,10.64,,0.03%,1.05%,4.23%,"2,139",0.19%
2472,PPTY,Vident U.S. Diversified Real Estate ETF,Financial,Exchange Traded Fund,,,,,,,0.51%,,,,,,1.00%,,,,, / ,,,,,,,3.61%,,,,,,11.68%,,,,,25.86  34.11,4.81%,1.27,,,,13.84%,0.94,4.32%,,,,13.65%,0.32,,,,,50.24,1.16%,0.79%,No,,,,0.41,29.29,Yes,,,,6.71K,29.39,,0.85%,1.42%,2.50%,"2,016",0.34%
2473,PPTA,Perpetua Resources Corp.,Basic Materials,Other Precious Metals & Mining,,RUT,,0.57,0.30%,63.02M,3.40%,293.46M,,0.52,7.16%,62.98M,7.84%,36.10M,,0.14,72.67%,1.39% / 4.42,,,,30.90%,,0.88M,3.67%,1.74,1.96,8.30%,26.10%,,27.24%,,,,29.70%,1.69  5.49,16.78%,,,0.20%,,37.89%,1.07,,1.5,,,101.78%,0.19,29,1.5,,,37.51,3.91%,4.96%,Yes,0,26.40%,,0.27,3.37,Yes,0,,,198.45K,3.41,2,6.75%,12.02%,3.95%,"40,235",1.19%
2474,PPT,Putnam Premier Income Trust,Financial,ClosedEnd Fund  Debt,,,,0.1,,98.03M,1.81%,356.33M,,,,98.02M,1.81%,9.90M,,,41.40%,0.17% / 0.90,,25.50M,13.97,223.40%,2.38%,0.17M,4.66%,3.97,0.92,,1.00%,,8.24%,0,,,2.30%,3.45  4.00,1.11%,0.31,,18.40%,5.30%,8.54%,0.36,8.54%,,6.60%,86.60%,6.08%,0.04,,,0.80%,84.50%,59.26,1.36%,1.26%,No,0,97.60%,38.70%,0.53,3.64,Yes,0,,,189.11K,3.65,,1.91%,2.20%,0.93%,"74,415",0.41%
2475,PPSI,"Pioneer Power Solutions, Inc.",Industrials,Electrical Equipment & Parts,,,,0.28,23.23%,9.77M,8.01%,61.89M,15.73,0.42,0.00%,7.50M,20.23%,2.80M,,0,4.60%,1.53% / 0.78,,29.10M,2.13,52.90%,11.86%,0.11M,126.19%,1.76,3.75,366.67%,,12,83.47%,1.24,5.34,6.00%,,2.33  9.84,146.45%,,,2.50%,22.80%,32.90%,0.43,,1.3,25.10%,20.20%,183.47%,0.56,99,1.8,32.80%,,41.32,9.37%,7.54%,Yes,0.04,116.30%,,0.28,6.55,Yes,0.02,Aug 14 AMC,,146.63K,6.6,,12.43%,12.31%,46.06%,"30,596",0.84%
2476,PPLT,abrdn Physical Platinum Shares ETF,Financial,Exchange Traded Fund,,,,,,,1.13%,,,,,,6.40%,,,,, / ,,,,,,,4.66%,,,,,,3.68%,,,,,76.09  104.67,15.20%,,,,,19.56%,0.6,,,,,10.65%,1.52,,,,,41.11,1.10%,1.29%,No,,,,0.63,84.13,Yes,,,,102.11K,84.19,,3.39%,4.39%,8.63%,"48,082",0.08%
2477,PPL,PPL Corporation,Utilities,Utilities  Regulated Electric,,S&P 500,26.57,0.98,0.05%,736.83M,0.36%,19.70B,15.34,1.71,1.34%,736.63M,2.51%,726.00M,1.54,0.46,72.80%,1.64% / 2.40,,8.54B,2.31,12.10%,2.00%,12.10M,6.72%,19.05,1.37,8.32%,2.00%,31,9.74%,0.61,42.83,17.21%,5.40%,23.47  31.74,10.42%,0.96,,14.40%,4.20%,17.53%,0.8,3.67%,1.1,1.20%,75.80%,11.55%,0.44,6527,1.2,35.50%,16.10%,39.33,1.92%,1.73%,Yes,1.04,4.20%,8.90%,0.3,26.1,Yes,1.03,Aug 04 BMO,103.70%,5.03M,26.17,2.1,3.06%,2.18%,6.04%,"1,134,370",0.29%
2478,PPIH,"PermaPipe International Holdings, Inc.",Industrials,Building Products & Equipment,,,12.97,0.72,5.30%,8.00M,2.65%,74.40M,,,0.00%,7.52M,4.85%,5.70M,,,24.40%,0.02% / 0.10,,141.00M,0.53,1.70%,1.19%,0.00M,17.04%,7.05,1.32,,4.50%,,2.76%,1.1,8.45,,10.20%,7.77  11.49,1.59%,,,21.90%,9.20%,19.06%,0.18,,1.5,6.30%,27.00%,19.69%,0.56,667,1.8,4.80%,7.80%,56.64,6.71%,5.86%,Yes,0.48,25.50%,4.00%,1.21,9.18,Yes,0.24,,0.00%,13.80K,9.3,,9.10%,0.29%,6.64%,"12,424",1.31%
2479,PPI,AXS Astoria Inflation Sensitive ETF,Financial,Exchange Traded Fund,,,,,,,0.35%,,,,,,0.76%,,,,, / 5.02,,,,,,0.07M,2.08%,,,,,,3.75%,,,,,21.91  27.76,4.47%,0.9,,,,4.51%,1,3.41%,,,,20.99%,0.25,,,,,57.25,0.71%,0.66%,No,,,,0.1,26.51,Yes,,,,13.53K,26.51,,0.34%,3.24%,3.24%,"1,004",0.00%
2480,PPHP,PHP Ventures Acquisition Corp.,Financial,Shell Companies,,,,0.3,,3.50M,0.18%,35.09M,,,,1.46M,1.96%,1.80M,,,87.50%,0.00% / 0.00,,,,343.90%,9.04%,0.00M,8.86%,3.67,2.98,,3.60%,,,5.86,1.87,,5.20%,10.06  11.80,5.40%,,,,,7.37%,0.01,,3.2,,,8.65%,0.19,,3.2,,,55.1,2.10%,1.67%,No,0.16,83.70%,,0,10.93,Yes,0,,,8.95K,10.93,,0.60%,1.94%,6.81%,0,0.00%
2481,PPH,VanEck Pharmaceutical ETF,Financial,Exchange Traded Fund,,,,,,,4.44%,,,,,,7.42%,,,,, / ,,,,,,,6.98%,,,,,,8.76%,,,,,66.59  83.35,6.85%,1.81,,,,0.34%,0.7,2.18%,,,,24.75%,0.85,,,,,73.52,1.02%,0.89%,Yes,,,,1.21,82.56,Yes,,,,128.73K,83.07,,3.61%,5.79%,7.40%,"115,608",0.62%
2482,PPG,"PPG Industries, Inc.",Basic Materials,Specialty Chemicals,,S&P 500,24.55,5.58,0.30%,236.00M,2.65%,32.16B,16.3,8.39,19.21%,234.81M,9.68%,1.32B,1.76,1.93,82.50%,0.60% / 0.89,,17.91B,1.8,27.00%,0.17%,1.40M,6.20%,32.26,4.24,12.31%,6.10%,160.27,2.47%,5.51,24.82,13.93%,19.30%,107.40  152.89,8.83%,2.6,50.18,5.80%,7.70%,10.49%,1.19,1.90%,1,3.70%,39.10%,27.42%,3.11,52000,1.5,3.90%,9.90%,33.56,2.15%,2.06%,Yes,0.91,10.70%,7.40%,0.51,139.45,Yes,0.8,Jul 20 AMC,44.30%,1.58M,136.85,2.4,5.90%,4.92%,2.27%,"598,143",1.87%
2483,PPC,Pilgrim's Pride Corporation,Consumer Defensive,Packaged Foods,,,37.22,0.7,0.10%,236.73M,3.37%,6.11B,12.1,2.16,6.04%,41.00M,3.72%,169.00M,,0.4,17.70%,6.25% / 2.82,,17.07B,0.36,63.20%,0.23%,2.56M,3.49%,12.92,2.02,75.86%,1.80%,26.92,12.83%,3.12,8.35,7.00%,5.90%,19.96  31.21,9.95%,,,3.40%,14.90%,16.40%,0.98,,0.9,10.20%,6.10%,30.72%,0.65,61900,1.7,7.00%,2.30%,74.7,2.11%,2.68%,Yes,1.21,83.00%,1.00%,0.65,25.52,Yes,1.21,Jul 26 AMC,0.00%,908.64K,26.09,2.4,5.48%,12.74%,10.00%,"436,590",2.24%
2484,PPBT,Purple Biotech Ltd.,Healthcare,Biotechnology,,,,1.04,,19.84M,1.71%,23.39M,,0.7,,19.59M,10.85%,19.20M,,0.26,0.60%,3.57% / 8.32,,,,18.70%,14.08%,0.70M,38.83%,2.36,0.49,30.70%,33.80%,8.67,57.09%,1.14,1.01,,38.30%,1.02  2.69,16.67%,,,,,57.25%,1.77,,4.3,,,12.75%,0.08,13,4.3,,,40.4,6.48%,6.26%,Yes,0.01,40.00%,,0.33,1.13,Yes,0.01,,,83.99K,1.15,2,1.33%,16.64%,34.57%,"20,495",1.77%
2485,PPBI,"Pacific Premier Bancorp, Inc.",Financial,Banks  Regional,,RUT,8.96,2.8,0.10%,94.17M,0.60%,2.42B,11.37,2.2,26.06%,93.97M,13.39%,263.60M,1.12,0.55,96.90%,1.90% / 3.32,,863.50M,2.8,16.70%,1.25%,1.79M,25.99%,30.26,0.83,5.93%,1.20%,27.43,26.92%,16.25,1.54,8.00%,9.40%,17.53  37.50,20.60%,1.32,9.93,11.80%,18.90%,33.17%,1.22,5.27%,,23.30%,,42.95%,0.79,1430,,23.00%,79.10%,60.56,2.97%,3.38%,Yes,0.12,18.20%,30.50%,0.23,25.16,Yes,0.12,Jul 27 BMO,47.10%,538.66K,25.06,2.4,2.19%,11.77%,8.83%,"92,903",0.40%
2486,PPA,Invesco Aerospace & Defense ETF,Financial,Exchange Traded Fund,,,,,,,0.73%,,,,,,0.06%,,,,, / ,,,,,,,6.25%,,,,,,13.88%,,,,,64.48  86.06,8.60%,0.49,,,,1.07%,0.98,0.57%,,,,32.03%,0.89,,,,,54.84,0.94%,0.96%,Yes,,,,0.45,85,Yes,,,,96.57K,85.14,,0.34%,1.87%,6.18%,"32,115",0.16%
2487,PP,The Meet Kevin Pricing Power ETF,Financial,Exchange Traded Fund,,,,,,,4.17%,,,,,,13.50%,,,,, / ,,,,,,,10.07%,,,,,,,,,,,16.57  29.23,38.76%,,,,,16.40%,,,,,,47.47%,0.58,,,,,27.52,2.15%,2.02%,Yes,,,,1.2,24.81,Yes,,,,33.86K,24.44,,9.22%,8.45%,7.97%,"30,163",1.51%
2488,POWW,"AMMO, Inc.",Industrials,Aerospace & Defense,,RUT,,0.07,24.50%,117.86M,2.84%,239.87M,,0.03,0.37%,88.09M,7.24%,7.70M,,0.02,29.30%,5.41% / 8.19,,191.40M,1.25,124.50%,8.70%,4.77M,7.24%,3.16,0.65,0.00%,1.80%,2.5,65.14%,0.33,6.13,,2.00%,1.56  6.05,18.50%,,19.19,1.00%,1.00%,66.14%,0.61,,2.9,150.00%,28.90%,31.41%,0.09,342,5,37.70%,1.70%,44.84,4.67%,4.19%,Yes,0.03,,4.00%,0.53,2.09,Yes,0.03,Aug 09 AMC,,582.04K,2.05,2.5,3.10%,2.51%,2.68%,"228,307",1.91%
2489,POWL,"Powell Industries, Inc.",Industrials,Electrical Equipment & Parts,,RUT,26.59,3.03,1.80%,11.89M,1.59%,963.20M,20.63,3.91,6.12%,9.00M,32.22%,36.80M,2.66,1.21,64.00%,2.06% / 1.74,,653.30M,1.47,206.10%,2.77%,0.19M,87.26%,27.26,2.96,10.92%,6.50%,71,199.89%,17.57,4.59,10.00%,12.00%,20.17  90.00,129.31%,1.05,8.57,27.60%,3.70%,10.37%,0.85,1.30%,1.4,6.10%,19.70%,299.95%,3.91,1935,1.6,42.00%,6.60%,70.51,5.01%,4.77%,Yes,0,99.70%,5.60%,0.93,79.01,Yes,0,Aug 01 AMC,33.70%,106.63K,80.67,3,18.11%,27.29%,78.27%,"73,249",2.10%
2490,POWI,"Power Integrations, Inc.",Technology,Semiconductors,,RUT,52.82,1.57,0.70%,57.35M,1.35%,5.09B,33.59,2.48,21.06%,56.55M,15.93%,90.40M,,0.47,105.49%,5.38% / 8.44,,514.50M,9.9,9.40%,0.16%,3.04M,0.01%,13.39,6.21,51.10%,10.70%,90.33,2.77%,5.65,14.7,4.05%,11.90%,59.16  99.60,15.92%,0.76,141.85,22.40%,22.20%,16.53%,1.21,0.91%,6.2,8.60%,53.70%,40.53%,2.93,831,8.5,33.00%,17.00%,35.42,4.10%,2.67%,Yes,0,72.80%,17.60%,0.3,84.66,Yes,0,Aug 03 AMC,46.80%,360.30K,83.14,2.3,9.22%,9.14%,1.25%,"79,058",1.80%
2491,POTX,Global X Cannabis ETF,Financial,Exchange Traded Fund,,,,,,,1.17%,,,,,,1.56%,,,,, / ,,,,,,,38.91%,,,,,,63.12%,,,,,6.13  20.16,37.65%,0.28,,,,65.58%,1.5,4.01%,,,,13.21%,0.3,,,,,52.16,4.86%,4.17%,Yes,,,,0.36,6.93,Yes,,,,33.74K,6.94,,4.24%,1.46%,31.89%,"8,971",0.14%
2492,POST,"Post Holdings, Inc.",Consumer Defensive,Packaged Foods,,,14.02,6.3,1.10%,58.80M,1.03%,5.48B,18.52,4.77,0.42%,52.76M,1.70%,400.10M,0.31,1.11,93.70%,4.10% / 4.77,,6.29B,0.87,629.70%,2.85%,2.16M,1.54%,59.06,1.5,7.87%,7.60%,103.5,2.70%,13.58,6.5,45.00%,25.70%,80.39  98.84,2.17%,,43.81,88.10%,4.40%,10.66%,0.67,,2,2.30%,25.20%,9.84%,1.51,10420,2.7,14.90%,9.00%,58.49,2.04%,1.54%,Yes,1.68,90.30%,13.80%,0.87,87.98,Yes,1.68,Aug 03 AMC,0.00%,453.13K,88.3,2,2.12%,2.24%,1.03%,"292,503",0.36%
2493,POR,Portland General Electric Company,Utilities,Utilities  Regulated Electric,,RUT,19.49,2.41,0.30%,101.09M,0.90%,4.78B,15.37,3.06,1.97%,100.51M,1.14%,222.00M,3.3,0.77,105.85%,3.65% / 4.36,,2.83B,1.69,4.50%,1.63%,3.67M,0.77%,32.96,1.43,15.00%,2.20%,52.8,13.15%,0.38,122.48,5.90%,7.50%,41.58  56.37,4.04%,1.9,,2.60%,5.30%,16.59%,0.56,4.04%,0.7,5.70%,46.60%,13.08%,0.88,2873,0.9,9.60%,13.30%,45.7,1.83%,1.90%,Yes,1.23,44.20%,7.90%,0.31,46.62,Yes,1.18,Jul 28 BMO,75.50%,841.45K,47.02,2.4,1.18%,1.63%,2.29%,"190,671",0.86%
2494,POOL,Pool Corporation,Industrials,Industrial Distribution,,S&P 500,24.79,15.09,0.20%,38.84M,1.93%,14.49B,25.02,14.96,2.92%,37.92M,2.23%,592.70M,,3.48,104.11%,10.14% / 8.66,,5.78B,2.51,16.30%,0.40%,3.85M,0.75%,37.56,9.96,11.52%,16.00%,381.9,2.18%,1.37,272.44,0.77%,46.10%,278.10  423.97,23.75%,4.4,23.44,34.60%,30.10%,11.76%,0.97,1.18%,0.9,17.30%,30.40%,34.53%,10.11,6000,2.7,46.40%,14.60%,48.88,1.89%,2.80%,Yes,0.81,51.40%,10.30%,0.48,385.14,Yes,0.79,Jul 20 BMO,27.00%,444.25K,374.13,2.2,0.63%,3.23%,8.52%,"159,310",2.86%
